"year","url_host_name","url_host_registered_domain","warc_filename","url","warc_record_offset","warc_record_length","ranking"
"2017","www.segwayfun.uk","segwayfun.uk","crawl-data/CC-MAIN-2017-09/segments/1487501170609.0/warc/CC-MAIN-20170219104610-00005-ip-10-171-10-108.ec2.internal.warc.gz","https://www.segwayfun.uk/","875092805","30207","1"
"2020","www.michelledehaan.uk","michelledehaan.uk","crawl-data/CC-MAIN-2020-05/segments/1579250604397.40/warc/CC-MAIN-20200121132900-20200121161900-00331.warc.gz","http://www.michelledehaan.uk/","248131434","12987","1"
"2018","www.arisechurch.uk","arisechurch.uk","crawl-data/CC-MAIN-2018-05/segments/1516084886946.21/warc/CC-MAIN-20180117142113-20180117162113-00405.warc.gz","https://www.arisechurch.uk/","876726449","10335","1"
"2021","www.technologyreseller.uk","technologyreseller.uk","crawl-data/CC-MAIN-2021-04/segments/1610704847953.98/warc/CC-MAIN-20210128134124-20210128164124-00240.warc.gz","https://www.technologyreseller.uk/","944506180","24863","1"
"2017","www.growthco.uk","growthco.uk","crawl-data/CC-MAIN-2017-30/segments/1500549424247.30/warc/CC-MAIN-20170723042657-20170723062657-00566.warc.gz","http://www.growthco.uk/","473208422","4173","1"
"2020","www.collocaid.uk","collocaid.uk","crawl-data/CC-MAIN-2020-05/segments/1579250601040.47/warc/CC-MAIN-20200120224950-20200121013950-00127.warc.gz","http://www.collocaid.uk/","201027479","11919","1"
"2020","www.comparesupermarket.uk","comparesupermarket.uk","crawl-data/CC-MAIN-2020-05/segments/1579250628549.43/warc/CC-MAIN-20200125011232-20200125040232-00533.warc.gz","http://www.comparesupermarket.uk/","199658877","22711","1"
"2020","www.drpetercooke.uk","drpetercooke.uk","crawl-data/CC-MAIN-2020-05/segments/1579250607314.32/warc/CC-MAIN-20200122161553-20200122190553-00033.warc.gz","https://www.drpetercooke.uk/","854042486","6503","1"
"2020","www.technologyreseller.uk","technologyreseller.uk","crawl-data/CC-MAIN-2020-05/segments/1579251789055.93/warc/CC-MAIN-20200129071944-20200129101944-00400.warc.gz","https://www.technologyreseller.uk/","1095137284","16331","1"
"2022","www.taskforceonshalegas.uk","taskforceonshalegas.uk","crawl-data/CC-MAIN-2022-05/segments/1642320301720.45/warc/CC-MAIN-20220120035934-20220120065934-00412.warc.gz","http://www.taskforceonshalegas.uk/","123952199","14220","1"
"2022","www.vouchertoday.uk","vouchertoday.uk","crawl-data/CC-MAIN-2022-05/segments/1642320306346.64/warc/CC-MAIN-20220128212503-20220129002503-00085.warc.gz","https://www.vouchertoday.uk/","1084412976","19545","1"
"2020","www.camberwellgraphicdesign.uk","camberwellgraphicdesign.uk","crawl-data/CC-MAIN-2020-05/segments/1579250610004.56/warc/CC-MAIN-20200123101110-20200123130110-00043.warc.gz","http://www.camberwellgraphicdesign.uk/","192982206","4705","1"
"2018","www.beachcombertours.uk","beachcombertours.uk","crawl-data/CC-MAIN-2018-05/segments/1516084886946.21/warc/CC-MAIN-20180117142113-20180117162113-00188.warc.gz","https://www.beachcombertours.uk/","846025294","14958","1"
"2019","www.thriveagency.uk","thriveagency.uk","crawl-data/CC-MAIN-2019-30/segments/1563195525974.74/warc/CC-MAIN-20190719032721-20190719054721-00081.warc.gz","https://www.thriveagency.uk/","873805278","9932","1"
"2021","www.paintwagon.uk","paintwagon.uk","crawl-data/CC-MAIN-2021-04/segments/1610703527850.55/warc/CC-MAIN-20210121194330-20210121224330-00080.warc.gz","https://www.paintwagon.uk/","968007111","20634","1"
"2017","www.matthewr.uk","matthewr.uk","crawl-data/CC-MAIN-2017-26/segments/1498128319992.22/warc/CC-MAIN-20170623031127-20170623051127-00479.warc.gz","http://www.matthewr.uk/","596535803","4072","1"
"2020","www.viviancook.uk","viviancook.uk","crawl-data/CC-MAIN-2020-05/segments/1579250595282.35/warc/CC-MAIN-20200119205448-20200119233448-00526.warc.gz","http://www.viviancook.uk/","298375108","1901","1"
"2021","www.gtsf.uk","gtsf.uk","crawl-data/CC-MAIN-2021-21/segments/1620243988775.80/warc/CC-MAIN-20210507090724-20210507120724-00405.warc.gz","https://www.gtsf.uk/?p=4340","841410332","134893","1"
"2021","www.secondreading.uk","secondreading.uk","crawl-data/CC-MAIN-2021-04/segments/1610703524743.61/warc/CC-MAIN-20210121101406-20210121131406-00060.warc.gz","https://www.secondreading.uk/","974643357","35566","1"
"2019","www.whitby.uk","whitby.uk","crawl-data/CC-MAIN-2019-04/segments/1547583792338.50/warc/CC-MAIN-20190121111139-20190121133139-00486.warc.gz","http://www.whitby.uk/","400576996","8610","1"
"2019","www.bornready.uk","bornready.uk","crawl-data/CC-MAIN-2019-04/segments/1547583835626.56/warc/CC-MAIN-20190122095409-20190122121409-00510.warc.gz","https://www.bornready.uk/","719091547","14670","1"
"2019","www.hughbonneville.uk","hughbonneville.uk","crawl-data/CC-MAIN-2019-09/segments/1550247495367.60/warc/CC-MAIN-20190220170405-20190220192405-00071.warc.gz","http://www.hughbonneville.uk/?option=com_content&task=view&id=195&Itemid=61","381260846","10161","1"
"2018","www.parastone.uk","parastone.uk","crawl-data/CC-MAIN-2018-05/segments/1516084886397.2/warc/CC-MAIN-20180116090056-20180116110056-00744.warc.gz","http://www.parastone.uk/","539224779","2937","1"
