url,3p-domain
https://web.archive.org/web/20130518163844/http://www2.ac-lyon.fr/,
https://web.archive.org/web/20130526022738/http://www.ac-martinique.fr:80/,"google-analytics,googleapis"
https://web.archive.org/web/20130424210824/http://www.ac-noumea.nc/,
https://web.archive.org/web/20130521021516/http://ac-rouen.fr/,google-analytics
https://web.archive.org/web/20130412195908/http://www.ac-strasbourg.fr/,xiti
https://web.archive.org/web/20130405052820/http://www.ac-toulouse.fr:80/,"amazonaws,google-analytics"
https://web.archive.org/web/20130524122837/http://academia-pradoventura.com/,"skype,addthis,google-analytics,jscache"
https://web.archive.org/web/20130520154603/http://www.academia21.com:80/,
https://web.archive.org/web/20130521040435/http://academiatica.com/,"wordpress,google-analytics,googleapis"
https://web.archive.org/web/20130411211411/http://academic.obec.go.th/,statcounter
https://web.archive.org/web/20130530225336/http://academic.sfsu.edu:80/,google-analytics
https://web.archive.org/web/20130520232959/http://www.academic360.com/,google-analytics
https://web.archive.org/web/20130521133314/http://academica.org.pl/,"google-analytics,googleapis"
https://web.archive.org/web/20130521161602/http://academicadvantage.com/,"google,google-analytics,googleapis"
https://web.archive.org/web/20130426042932/http://academicaffairs.uoregon.edu/,"google-analytics,googleapis"
https://web.archive.org/web/20130518182120/http://academicinstitute.com/,"facebook,google-analytics"
https://web.archive.org/web/20130524233446/http://www.academicsltd.co.uk:80/,google-analytics
https://web.archive.org/web/20130524145415/http://academictherapy.com/,
https://web.archive.org/web/20130408012309/http://www.academictransfer.com:80/,"addthis,newrelic,cloudfront,google-analytics,googleapis"
https://web.archive.org/web/20130523064207/http://academie-villecroze.com/,
https://web.archive.org/web/20130522060111/http://academievanbouwkunst.nl/,google-analytics
https://web.archive.org/web/20130430200159/http://www.academy.fsb.ru/,
https://web.archive.org/web/20130403093952/http://www.academy.gov.ua/,
https://web.archive.org/web/20130424103606/http://www.academy.mvr.bg/,
https://web.archive.org/web/20130522092726/http://academy.ru:80/?,"yadro,rambler,google-analytics,yandex,facebook"
https://web.archive.org/web/20130411041455/http://www.academyart.edu/,"optimizely,adnxs,google-analytics"
https://web.archive.org/web/20130511064005/http://academycanada.com/,"pinterest,facebook,addthis,google-analytics"
https://web.archive.org/web/20130521095551/http://academyflorida.com/,
https://web.archive.org/web/20130520074559/http://academyleadership.com/,"youtube,google-analytics"
https://web.archive.org/web/20130522085122/http://academyofcosmetology.com/,
https://web.archive.org/web/20130523022721/http://academyoflearning.com/,"facebook,google-analytics,google"
https://web.archive.org/web/20130521170746/http://academyofmassage.com/,"google-analytics,googleapis"
https://web.archive.org/web/20130524002802/http://academyofsports.de/,"google-analytics,facebook,twimg,google"
https://web.archive.org/web/20130520122403/http://academyoftheholycross.org/,"newrelic,typekit,google-analytics,google"
https://web.archive.org/web/20130402164553/http://academyx.com/,"google,doubleclick"
https://web.archive.org/web/20130606180130/http://www.acadiaathletics.ca:80/,"twimg,google-analytics"
https://web.archive.org/web/20130531152823/http://www.acadlib.lu.lv/,google-analytics
https://web.archive.org/web/20130519144312/http://www.acal.edu.au:80/,"google-analytics,googleapis"
https://web.archive.org/web/20130518065939/http://acam.org/,
https://web.archive.org/web/20130523065909/http://www.acamus.net/,google-analytics
https://web.archive.org/web/20130516165955/http://www.acaom.edu/,"google-analytics,google"
https://web.archive.org/web/20130523173918/http://www.acatcm.com/,
https://web.archive.org/web/20130515021306/http://www.acatlan.unam.mx:80/,google-analytics
https://web.archive.org/web/20130521022503/http://acbj.com.br/,ytimg
https://web.archive.org/web/20130409082424/http://www.acc.edu.au/,"typekit,addthis,google-analytics"
https://web.archive.org/web/20130605033814/http://www.accademiabellearti.ra.it/,google-analytics
https://web.archive.org/web/20130407084353/http://www.accademiacostumeemoda.it:80/,
https://web.archive.org/web/20130521110028/http://accademiadarte.it/,
https://web.archive.org/web/20130518194123/http://accademiadelcinema.it/,"google-analytics,facebook,google"
https://web.archive.org/web/20130410043332/http://www.accademiadibrera.milano.it:80/,
https://web.archive.org/web/20130520071604/http://accademiagalli.com/,"facebook,twitter,google-analytics,googleapis"
https://web.archive.org/web/20130527185349/http://accademiaitaliana.com/,"google-analytics,googleapis"
https://web.archive.org/web/20130522114301/http://accaparlante.it/,vimeocdn
https://web.archive.org/web/20130520210350/http://accelerated.org/,
https://web.archive.org/web/20130517232405/http://acceleratedschools.org/,google-analytics
https://web.archive.org/web/20130510093329/http://www.accelerateinstitute.org:80/,"typekit,google-analytics"
https://web.archive.org/web/20130522161120/http://www.accentfrancais.com:80/,"youtube,skype,iadvize,google-analytics"
https://web.archive.org/web/20130407004440/http://www.accessmba.com:80/,"googleadservices,google-analytics,doubleclick"
https://web.archive.org/web/20130522012839/http://acchs.edu/,"wordpress,wp,google-analytics,gravatar,google,googleapis"
https://web.archive.org/web/20130508095125/http://www.accimt.ac.lk:80/,
https://web.archive.org/web/20130523062712/http://www.accounting-simplified.com/,"sharethis,google-analytics,googlesyndication"
https://web.archive.org/web/20130429125230/http://accounting.broad.msu.edu/,"google-analytics,addtoany"
https://web.archive.org/web/20130520152637/http://accraacaalumni.com/,paypal
https://web.archive.org/web/20130410171824/http://www.ace-ed.org.uk:80/,google-analytics
https://web.archive.org/web/20130508215225/http://ace.coop/,
https://web.archive.org/web/20130520170913/http://aceeducational.com/,"facebook,hubspot,google-analytics"
https://web.archive.org/web/20130522152812/http://acelf.ca/,"facebook,twitter,google-analytics,googleapis"
https://web.archive.org/web/20130506180918/http://aceofflorida.org/,"facebook,google-analytics"
https://web.archive.org/web/20130518014316/http://www.acer.edu.au//,"google-analytics,googleapis"
https://web.archive.org/web/20130414030027/http://aces.edu/,"youtube,addthis,google-analytics"
https://web.archive.org/web/20130420195029/http://www.acfas.ca/,"twitter,google-analytics"
https://web.archive.org/web/20130409184243/http://www.acg.edu:80/,"googleadservices,google-analytics,doubleclick"
https://web.archive.org/web/20130529191841/http://www.aci.pl/,"jquery,google-analytics"
https://web.archive.org/web/20130510001658/http://www.acibadem.edu.tr/,"jquery,google-analytics,adobe"
https://web.archive.org/web/20130523050731/http://www.acin.tuwien.ac.at/,
https://web.archive.org/web/20130515215100/http://www.acitbari.it:80/,google-analytics
https://web.archive.org/web/20130411013112/http://www.acla.org:80/,amazonaws
https://web.archive.org/web/20130518014232/http://aclea.org/,
https://web.archive.org/web/20130528173327/http://www.acmi.net.au/,"addthis,google-analytics"
https://web.archive.org/web/20130523215957/http://acmt.hr/,"adobe,google-analytics,youtube,google,googleapis"
https://web.archive.org/web/20130614154344/http://aco.ifmo.ru/,userapi
https://web.archive.org/web/20130513065538/http://www.acom.edu.au/,google-analytics
https://web.archive.org/web/20130522130502/http://acornnaturalists.com/,google-analytics
https://web.archive.org/web/20130424113516/http://www.acoustics.salford.ac.uk/,google-analytics
https://web.archive.org/web/20130530160738/http://www.acpe.org/,"jquery,google-analytics"
https://web.archive.org/web/20130403124517/http://www.acs-aec.ca/,"gstatic,google-analytics,googleapis"
https://web.archive.org/web/20130522095519/http://acs.bg/,
https://web.archive.org/web/20130728223458/http://www.acs.k12.sc.us/,"app,google-analytics,googleapis"
https://web.archive.org/web/20130512212640/http://www.acs.nmu.edu/,google-analytics
https://web.archive.org/web/20130509163635/http://www.acs.psu.edu/,google
https://web.archive.org/web/20130521105031/http://acs.qc.ca/,"addtoany,google-analytics,googleapis"
https://web.archive.org/web/20130523021955/http://acs350.org/,"virtualearth,twimg"
https://web.archive.org/web/20130518163022/http://acsa.edu.au/,
https://web.archive.org/web/20130528054218/http://www.acsd.us:80/,"google-analytics,google"
https://web.archive.org/web/20130518044252/http://acsdsc.org/,
https://web.archive.org/web/20130523215557/http://www.acsedu.com/,"facebook,google-analytics,google"
https://web.archive.org/web/20130415044446/http://act-r.psy.cmu.edu:80/,google
https://web.archive.org/web/20130526203850/http://www.acta.nl:80/,google-analytics
https://web.archive.org/web/20130421143950/http://www.actcm.edu/,"olark,google-analytics"
https://web.archive.org/web/20130521170357/http://actden.com/,google-analytics
https://web.archive.org/web/20130411215839/http://acteonline.org/,"pinterest,google-analytics,googleapis"
https://web.archive.org/web/20130411053502/http://www.actfl.org/,google-analytics
https://web.archive.org/web/20130521015653/http://actilangue.com/,estat
https://web.archive.org/web/20130521035142/http://acting-international.com/,"google-analytics,adobe"
https://web.archive.org/web/20131127061605/http://www.actingforbusiness.com/,google-analytics
https://web.archive.org/web/20130518230848/http://actingstudio.com/,google-analytics
https://web.archive.org/web/20130518170152/http://action-learning.com/,"youtube,hubspot,paypal,google-analytics"
https://web.archive.org/web/20130520084738/http://action-sejours.com/,"googleadservices,youtube,google-analytics,doubleclick"
https://web.archive.org/web/20130525132454/http://actioncut.com/,
https://web.archive.org/web/20130526074704/http://actionm.com:80/,google-analytics
https://web.archive.org/web/20130521235301/http://www.activator.com/,"google-analytics,hubspot,github,google"
https://web.archive.org/web/20130523091055/http://activestudy.info,"vk,yandex"
https://web.archive.org/web/20130518193621/http://actofcommunication.com/,facebook
https://web.archive.org/web/20130518063446/http://actorschecklist.com/,"googlesyndication,flagcounter,google-analytics,google"
https://web.archive.org/web/20130517094428/http://www.actx.edu:80/,"addthis,google-analytics"
https://web.archive.org/web/20130403134813/http://www.acu.edu:80/,"google-analytics,hubspot,google,googleapis"
https://web.archive.org/web/20130530194111/http://www.acuityinstitute.com:80/,google-analytics
https://web.archive.org/web/20130502103534/http://www.acuitytraining.co.uk/,"google,zopim,google-analytics,googleapis"
https://web.archive.org/web/20130521093327/http://www.acuoptimist.com/,"staticflickr,google-analytics,akamai,sharethis,google,apple"
https://web.archive.org/web/20130522093335/http://acupari.de/,"google,googleapis"
https://web.archive.org/web/20130522073855/http://adagreatlakes.org/,google-analytics
https://web.archive.org/web/20131015173121/http://www.adair.k12.ky.us/,google-analytics
https://web.archive.org/web/20130603015458/http://www.adamsmiddle.org:80/,google-analytics
https://web.archive.org/web/20130420045247/http://adamson.edu.ph/,"twimg,google-analytics,google"
https://web.archive.org/web/20130525022641/http://adaptacyya.eu/,googlesyndication
https://web.archive.org/web/20130520153747/http://www.adaptibar.com:80/,"scanalert,verisign,google-analytics,googleapis"
https://web.archive.org/web/20130530153239/http://www.adbanker.com/,
https://web.archive.org/web/20130504220329/http://www.adcet.edu.au/,google-analytics
https://web.archive.org/web/20130523060552/http://adctheatre.com/,google-analytics
https://web.archive.org/web/20130425110646/http://www.adeanet.org/,statcounter
https://web.archive.org/web/20130520204213/http://adem.ch/,"facebook,google-analytics"
https://web.archive.org/web/20130521120046/http://www.adesso-online.de:80/,"googletagservices,google-analytics"
https://web.archive.org/web/20130518202149/http://adide.org/,google-analytics
https://web.archive.org/web/20130522024433/http://www.adk-bw.de:80/,"google-analytics,googleapis"
https://web.archive.org/web/20130517014246/http://adkwatershed.org/,
https://web.archive.org/web/20130420061906/http://adlerplanetarium.org/,"google-analytics,googleapis"
https://web.archive.org/web/20130424064314/http://www.admin.ch/,
https://web.archive.org/web/20130430080526/http://administracion.uniandes.edu.co/,"google-analytics,adobe"
https://web.archive.org/web/20130407085324/http://admission.enrollment.cmu.edu:80/,google-analytics
https://web.archive.org/web/20130517083357/http://www.admissions.caltech.edu/,google-analytics
https://web.archive.org/web/20130503143013/http://www.admissions.iastate.edu/,"gravatar,google-analytics,googleapis"
https://web.archive.org/web/20130530133052/http://admissions.illinoisstate.edu:80/,twitter
https://web.archive.org/web/20131220210432/http://admissions.mcm.edu:80/,"google-analytics,google"
https://web.archive.org/web/20130416011658/https://www.admissions.psu.edu/,"github,google-analytics,googleapis"
https://web.archive.org/web/20130501082112/http://www.admissions.tcu.edu:80/,"googleadservices,google-analytics"
https://web.archive.org/web/20130521180335/http://www.admissions.utk.edu/,"youtube,google,google-analytics,googleapis"
https://web.archive.org/web/20130601053447/http://admitere.uaic.ro/,google-analytics
https://web.archive.org/web/20130515123859/http://admiu.edu.az/,
https://web.archive.org/web/20130519035707/http://www.adnu.edu.ph:80/,googleapis
https://web.archive.org/web/20130523115717/http://adomlingua.fr/,google-analytics
https://web.archive.org/web/20130521032026/http://adriaanvandenende.nl/,
https://web.archive.org/web/20130613031043/http://www.adrian.k12.mo.us:80/,
https://web.archive.org/web/20130521212955/http://adriansd.com/,
https://web.archive.org/web/20130520082002/http://ads-dieburg.de/,
https://web.archive.org/web/20130518045026/http://www.ads.uga.edu/,google
https://web.archive.org/web/20130524195956/http://adsb.on.ca/,google-analytics
https://web.archive.org/web/20130525000254/http://adsrm.org/,"newrelic,cloudfront"
https://web.archive.org/web/20130518035829/http://adu.edu.az/,addthis
https://web.archive.org/web/20130518163004/http://adu.edu/,
https://web.archive.org/web/20130524150244/http://adusp.org.br/,googleapis
https://web.archive.org/web/20130404081125/http://advanced.jhu.edu/,"typekit,google-analytics"
https://web.archive.org/web/20130531071721/http://advancement.illinoisstate.edu/,googleapis
https://web.archive.org/web/20130518235359/http://advancetitan.com/,"googletagservices,adgear,jquery,google-analytics"
https://web.archive.org/web/20130523140127/http://advanceyed.com/,google-analytics
https://web.archive.org/web/20130522212555/http://adventurespanishschool.com/,"facebook,google-analytics"
https://web.archive.org/web/20130601185735/http://advising.ku.edu/,google-analytics
https://web.archive.org/web/20130520141006/http://advocatesforrotc.org/,
https://web.archive.org/web/20130510170933/http://ae.engr.ku.edu/,google-analytics
https://web.archive.org/web/20130401184145/http://www.ae.gatech.edu/,
https://web.archive.org/web/20130512040348/http://ae.katowice.pl/,"google-analytics,google"
https://web.archive.org/web/20130515185438/http://www.ae.utexas.edu:80/,google-analytics
https://web.archive.org/web/20130518082733/http://www.aeaonline.org:80/,
https://web.archive.org/web/20130523155806/http://aebsd.org/,"app,twimg,google-analytics,googleapis"
https://web.archive.org/web/20130518114941/http://aecc.ac.uk/,"google-analytics,googleapis"
https://web.archive.org/web/20130520142217/http://aeceo.ca/,"sharethis,google-analytics"
https://web.archive.org/web/20130524070745/http://www.aecl.com.hk:80/,
https://web.archive.org/web/20130522232920/http://aecse.net/,google
https://web.archive.org/web/20130520152025/http://aegeancenter.org/,google-analytics
https://web.archive.org/web/20130521043638/http://aegee-leiden.nl/,
https://web.archive.org/web/20130501034632/http://aei.uoregon.edu/,
https://web.archive.org/web/20130525032343/http://aemseagles.org/,"gstatic,google"
https://web.archive.org/web/20130521214950/http://aenania.de/,
https://web.archive.org/web/20140801234245/http://aepi.uchicago.edu:80/,"googleapis,doubleclick"
https://web.archive.org/web/20130527145054/http://www.aepu.com.cn:80/,adobe
https://web.archive.org/web/20130411044218/http://www.aera.net/,"google-analytics,google"
https://web.archive.org/web/20130409093119/http://www.aeromech.usyd.edu.au/,google-analytics
https://web.archive.org/web/20130515044820/http://www.aerotec.es:80/,google-analytics
https://web.archive.org/web/20130520174653/http://aes.ac.in/,google-analytics
https://web.archive.org/web/20130815074834/http://www.aes.accomack.k12.va.us,
https://web.archive.org/web/20130528060342/http://www.aes.akita-u.ac.jp:80/,
https://web.archive.org/web/20130412213139/http://aese.psu.edu/,"facebook,google-analytics"
https://web.archive.org/web/20130520101801/http://www.aese.pt:80/,"google-analytics,google"
https://web.archive.org/web/20130322013230/http://www.aeth.org:80/,youtube
https://web.archive.org/web/20130530123908/http://www.af.czu.cz:80/,google-analytics
https://web.archive.org/web/20130530014016/http://www.afahc.ro:80/,
https://web.archive.org/web/20130505022434/http://afam.uga.edu/,
https://web.archive.org/web/20130521145701/http://afaprojects.com/,google-analytics
https://web.archive.org/web/20130428212021/http://www.afaps.ac.th/,yahoo
https://web.archive.org/web/20130411071417/https://www.afcpe.org/,google-analytics
https://web.archive.org/web/20130518071617/http://www.afe.gouv.qc.ca/,google-analytics
https://web.archive.org/web/20130523001345/http://afet-ev.de/,googleapis
https://web.archive.org/web/20130524145658/http://affairsofthevine.com/,facebook
https://web.archive.org/web/20130523210801/http://afgc.asso.fr/,"google-analytics,google"
https://web.archive.org/web/20130411190053/http://www.afi.com/,"facebook,google-analytics,netdna-cdn,google"
https://web.archive.org/web/20130515080104/http://www.afi24.org/,"google-analytics,adobe"
https://web.archive.org/web/20130531095047/http://afmc.nic.in/,
https://web.archive.org/web/20130506203119/http://www.afms1.belvoir.army.mil:80/,"llnwd,google"
https://web.archive.org/web/20130520162921/http://afpen.fr/,
https://web.archive.org/web/20130518161034/http://afportland.org/,google-analytics
