crawl,url_host_name,url_host_registered_domain,warc_filename,url,warc_record_offset,warc_record_length,ranking,year
CC-MAIN-2016-50,www.10righedailibri.it,10righedailibri.it,crawl-data/CC-MAIN-2016-50/segments/1480698541317.69/warc/CC-MAIN-20161202170901-00076-ip-10-31-129-80.ec2.internal.warc.gz,http://www.10righedailibri.it/,306875611,21695,1,2016
CC-MAIN-2016-26,www.aras.at,aras.at,crawl-data/CC-MAIN-2016-26/segments/1466783397428.37/warc/CC-MAIN-20160624154957-00043-ip-10-164-35-72.ec2.internal.warc.gz,http://www.aras.at/,377649318,15953,1,2016
CC-MAIN-2016-07,www.thuisvaccinatie.nl,thuisvaccinatie.nl,crawl-data/CC-MAIN-2016-07/segments/1454701999715.75/warc/CC-MAIN-20160205195319-00192-ip-10-236-182-209.ec2.internal.warc.gz,https://www.thuisvaccinatie.nl/,880401797,10676,1,2016
CC-MAIN-2016-44,www.aka.ie,aka.ie,crawl-data/CC-MAIN-2016-44/segments/1476988721141.89/warc/CC-MAIN-20161020183841-00342-ip-10-171-6-4.ec2.internal.warc.gz,http://www.aka.ie/,288398445,5534,1,2016
CC-MAIN-2016-26,www.anuac.it,anuac.it,crawl-data/CC-MAIN-2016-26/segments/1466783396029.85/warc/CC-MAIN-20160624154956-00112-ip-10-164-35-72.ec2.internal.warc.gz,http://www.anuac.it/,361570390,15147,1,2016
CC-MAIN-2016-44,www.uddevallaenergi.se,uddevallaenergi.se,crawl-data/CC-MAIN-2016-44/segments/1476988722459.85/warc/CC-MAIN-20161020183842-00188-ip-10-171-6-4.ec2.internal.warc.gz,http://www.uddevallaenergi.se/,763281369,8182,1,2016
CC-MAIN-2016-36,www.a-sports.gr,a-sports.gr,crawl-data/CC-MAIN-2016-36/segments/1471982293468.35/warc/CC-MAIN-20160823195813-00103-ip-10-153-172-175.ec2.internal.warc.gz,http://www.a-sports.gr/,299511559,12711,1,2016
CC-MAIN-2016-22,www.psuep.pl,psuep.pl,crawl-data/CC-MAIN-2016-22/segments/1464049275981.56/warc/CC-MAIN-20160524002115-00024-ip-10-185-217-139.ec2.internal.warc.gz,http://www.psuep.pl/,742307622,9378,1,2016
CC-MAIN-2016-40,www.mondolenti.it,mondolenti.it,crawl-data/CC-MAIN-2016-40/segments/1474738659512.19/warc/CC-MAIN-20160924173739-00124-ip-10-143-35-109.ec2.internal.warc.gz,http://www.mondolenti.it/,601512527,13468,1,2016
CC-MAIN-2016-30,www.tvfagaras.ro,tvfagaras.ro,crawl-data/CC-MAIN-2016-30/segments/1469257826759.85/warc/CC-MAIN-20160723071026-00278-ip-10-185-27-174.ec2.internal.warc.gz,http://www.tvfagaras.ro/,762207649,14063,1,2016
CC-MAIN-2016-36,www.vnrag.de,vnrag.de,crawl-data/CC-MAIN-2016-36/segments/1471982935857.56/warc/CC-MAIN-20160823200855-00250-ip-10-153-172-175.ec2.internal.warc.gz,http://www.vnrag.de/?SYS=224&SCID=570547&NL=38&ML=VNR11235_NL_EXP__20100731,758501974,10031,1,2016
CC-MAIN-2016-07,www.sergiomaistrello.it,sergiomaistrello.it,crawl-data/CC-MAIN-2016-07/segments/1454701148558.5/warc/CC-MAIN-20160205193908-00280-ip-10-236-182-209.ec2.internal.warc.gz,http://www.sergiomaistrello.it/,644649012,31524,1,2016
CC-MAIN-2016-30,www.buitenplaatsamerongen.nl,buitenplaatsamerongen.nl,crawl-data/CC-MAIN-2016-30/segments/1469258951764.94/warc/CC-MAIN-20160723072911-00009-ip-10-185-27-174.ec2.internal.warc.gz,http://www.buitenplaatsamerongen.nl/,362015832,5239,1,2016
CC-MAIN-2016-26,www.scannet.dk,scannet.dk,crawl-data/CC-MAIN-2016-26/segments/1466783395679.18/warc/CC-MAIN-20160624154955-00126-ip-10-164-35-72.ec2.internal.warc.gz,http://www.scannet.dk/,832310013,8788,1,2016
CC-MAIN-2016-18,www.scala-svendborg.dk,scala-svendborg.dk,crawl-data/CC-MAIN-2016-18/segments/1461860112231.78/warc/CC-MAIN-20160428161512-00199-ip-10-239-7-51.ec2.internal.warc.gz,http://www.scala-svendborg.dk/,811704191,9360,1,2016
CC-MAIN-2016-30,www.hit.it,hit.it,crawl-data/CC-MAIN-2016-30/segments/1469257824853.47/warc/CC-MAIN-20160723071024-00180-ip-10-185-27-174.ec2.internal.warc.gz,http://www.hit.it/,498259685,10926,1,2016
CC-MAIN-2016-36,www.citim.de,citim.de,crawl-data/CC-MAIN-2016-36/segments/1471982293195.16/warc/CC-MAIN-20160823195813-00132-ip-10-153-172-175.ec2.internal.warc.gz,http://www.citim.de/,375321106,12687,1,2016
CC-MAIN-2016-26,www.bad-sachsa.de,bad-sachsa.de,crawl-data/CC-MAIN-2016-26/segments/1466783397111.67/warc/CC-MAIN-20160624154957-00113-ip-10-164-35-72.ec2.internal.warc.gz,http://www.bad-sachsa.de/?id=146,380447809,12227,1,2016
CC-MAIN-2016-22,www.lotto24.de,lotto24.de,crawl-data/CC-MAIN-2016-22/segments/1464049274756.45/warc/CC-MAIN-20160524002114-00077-ip-10-185-217-139.ec2.internal.warc.gz,http://www.lotto24.de/,644132870,9668,1,2016
CC-MAIN-2016-30,www.skogsmuseet.se,skogsmuseet.se,crawl-data/CC-MAIN-2016-30/segments/1469257824113.35/warc/CC-MAIN-20160723071024-00136-ip-10-185-27-174.ec2.internal.warc.gz,http://www.skogsmuseet.se/,690284696,7912,1,2016
CC-MAIN-2016-22,www.accent.se,accent.se,crawl-data/CC-MAIN-2016-22/segments/1464049281876.4/warc/CC-MAIN-20160524002121-00230-ip-10-185-217-139.ec2.internal.warc.gz,http://www.accent.se/,327972025,11016,1,2016
